quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,geometry,index_right,id,fid
1322320220233300,108414,52619,8,1,1,"POLYGON ((101.40380859375 3.18439449233874, 101.409301757812 3.18439449233874, 101.409301757812 3.1789097955033, 101.40380859375 3.1789097955033, 101.40380859375 3.18439449233874))",0,br730dc4071.1,0
1322320220233301,104431,52612,6,1,1,"POLYGON ((101.409301757812 3.18439449233874, 101.414794921875 3.18439449233874, 101.414794921875 3.1789097955033, 101.409301757812 3.1789097955033, 101.409301757812 3.18439449233874))",0,br730dc4071.1,0
1322320220233303,132547,45685,4,9,4,"POLYGON ((101.409301757812 3.1789097955033, 101.414794921875 3.1789097955033, 101.414794921875 3.17342506950794, 101.409301757812 3.17342506950794, 101.409301757812 3.1789097955033))",0,br730dc4071.1,0
1322320220233310,58577,34510,6,4,4,"POLYGON ((101.414794921875 3.18439449233874, 101.420288085938 3.18439449233874, 101.420288085938 3.1789097955033, 101.414794921875 3.1789097955033, 101.414794921875 3.18439449233874))",0,br730dc4071.1,0
1322320220233311,33468,10741,4,1,1,"POLYGON ((101.420288085938 3.18439449233874, 101.42578125 3.18439449233874, 101.42578125 3.1789097955033, 101.420288085938 3.1789097955033, 101.420288085938 3.18439449233874))",0,br730dc4071.1,0
1322320220233312,100216,48914,8,2,1,"POLYGON ((101.414794921875 3.1789097955033, 101.420288085938 3.1789097955033, 101.420288085938 3.17342506950794, 101.414794921875 3.17342506950794, 101.414794921875 3.1789097955033))",0,br730dc4071.1,0
1322320220233313,44802,16802,4,8,6,"POLYGON ((101.420288085938 3.1789097955033, 101.42578125 3.1789097955033, 101.42578125 3.17342506950794, 101.420288085938 3.17342506950794, 101.420288085938 3.1789097955033))",0,br730dc4071.1,0
1322320220233320,96851,50330,4,6,3,"POLYGON ((101.40380859375 3.17342506950794, 101.409301757812 3.17342506950794, 101.409301757812 3.16794031440275, 101.40380859375 3.16794031440275, 101.40380859375 3.17342506950794))",0,br730dc4071.1,0
1322320220233321,112181,31772,4,4,4,"POLYGON ((101.409301757812 3.17342506950794, 101.414794921875 3.17342506950794, 101.414794921875 3.16794031440275, 101.409301757812 3.16794031440275, 101.409301757812 3.17342506950794))",0,br730dc4071.1,0
1322320220233322,123067,50083,8,47,9,"POLYGON ((101.40380859375 3.16794031440275, 101.409301757812 3.16794031440275, 101.409301757812 3.16245553023785, 101.40380859375 3.16245553023785, 101.40380859375 3.16794031440275))",0,br730dc4071.1,0
1322320220233323,110693,45846,4,42,19,"POLYGON ((101.409301757812 3.16794031440275, 101.414794921875 3.16794031440275, 101.414794921875 3.16245553023785, 101.409301757812 3.16245553023785, 101.409301757812 3.16794031440275))",0,br730dc4071.1,0
1322320220233330,68101,32331,8,11,7,"POLYGON ((101.414794921875 3.17342506950794, 101.420288085938 3.17342506950794, 101.420288085938 3.16794031440275, 101.414794921875 3.16794031440275, 101.414794921875 3.17342506950794))",0,br730dc4071.1,0
1322320220233331,159441,49415,4,29,15,"POLYGON ((101.420288085938 3.17342506950794, 101.42578125 3.17342506950794, 101.42578125 3.16794031440275, 101.420288085938 3.16794031440275, 101.420288085938 3.17342506950794))",0,br730dc4071.1,0
1322320220233332,115583,58798,5,19,10,"POLYGON ((101.414794921875 3.16794031440275, 101.420288085938 3.16794031440275, 101.420288085938 3.16245553023785, 101.414794921875 3.16245553023785, 101.414794921875 3.16794031440275))",0,br730dc4071.1,0
